class,density,hardness,size,weight,moisture,type
hrw,1.226645333,62.58716,2.34436,24.0555,11.91625,Scab
hrw,1.122038,71.65434,1.29188,14.694,11.6898,Scab
hrw,1.268590667,52.78539,2.07712,23.5815,11.5368,Scab
hrw,1.270744,67.5039,2.27164,29.5065,11.47427,Scab
hrw,1.190085,29.3,1.51,20.38,8.26,Healthy
hrw,1.263506,4.95,2.82,26.78,8.46,Healthy
hrw,1.371099,22.25,2.05,30.57,7.57,Healthy
hrw,1.305268667,33.07,2.35,25.6,7.95,Healthy
hrw,1.245073667,11.24,2.67,36.73,7.64,Healthy
hrw,1.368091333,35.6,2.4,31.04,7.23,Healthy
hrw,1.343465667,21.81,2.55,30.81,8.13,Healthy
hrw,1.275336,45.55,1.46,17.77,8.1,Healthy
hrw,1.249548333,30.71,2.31,29.38,7.83,Healthy
hrw,1.306494667,11.2,2.09,30.81,7.82,Healthy
hrw,1.314825,23.82,2.23,32.94,7.51,Healthy
hrw,1.349867333,16.67,2.77,31.28,7.09,Healthy
hrw,1.148221667,32.93,1.87,21.8,7.65,Sprout
hrw,1.226543667,-6.3,2.02,25.12,8.45,Sprout
hrw,1.218167,23.46,2.33,34.72,6.6,Sprout
hrw,1.149476667,-1.03,2.71,31.75,7.59,Sprout
hrw,1.175924,0.74,2.7,28.32,8.18,Sprout
hrw,1.201524667,-28.85,2.05,29.86,8.45,Sprout
hrw,1.224632333,-22.48,2.51,37.56,7.75,Sprout
hrw,1.236634,-12.54,2.37,37.92,7.74,Sprout
hrw,1.223135,-12.58,1.89,28.32,8.22,Sprout
hrw,1.269749667,-25.67,2.52,33.41,8.1,Sprout
hrw,1.219436,-11.85,3.08,30.1,8.21,Sprout
hrw,1.150738,-5.58,2.6,31.28,8.46,Sprout
hrw,1.181352,4.55,2.47,25.35,8.42,Scab
hrw,1.231755333,32.87,1.87,15.16,8.14,Scab
hrw,0.937482,-6.07,2.53,27.01,8.07,Scab
hrw,1.082102667,36.21,1.488,14.69,10.65,Scab
hrw,1.140459333,26.99,1.712,18.72,11.12,Scab
hrw,0.99216,-14.54,1.56,17.42,8.84,Scab
hrw,0.866821667,-44.08,1.85,24.76,8.68,Scab
hrw,1.226659667,-6.99,1.89,28.55,8.44,Scab
hrw,0.993598,-9.62,1.28,16.35,8.37,Scab
hrw,0.735189,71.12,2.47,34.72,10.24,Scab
hrw,1.120226333,20.46,1.57,17.06,8.65,Scab
hrw,1.08625,40.74,1.96,17.42,8.42,Scab
hrw,1.488443333,53.09,1.93,20.02,11.98,Healthy
hrw,1.185969333,26.69,1.65,18.96,12.46,Healthy
hrw,1.239288333,52.79,2.47,32.94,12.41,Healthy
hrw,1.271961667,57.33,2.61,34.95,12.29,Healthy
hrw,1.236147,45.26,2.19,31.75,11.92,Healthy
hrw,1.132292667,56.75,2.27,26.07,12.29,Healthy
hrw,1.176833667,32.57,1.48,18.96,12.03,Healthy
hrw,1.222598667,26.25,2.58,36.49,12.03,Healthy
hrw,1.176846667,55.06,2.04,26.42,11.9,Healthy
hrw,1.164749667,46.65,2.26,28.2,12.21,Healthy
hrw,1.296869333,63.26,2.48,31.99,11.76,Healthy
hrw,1.185883667,55.38,2.1,26.78,11.67,Healthy
hrw,1.155389,29.68,2.8,31.4,11.91,Sprout
hrw,1.239670667,40.67,2.48,30.57,11.64,Sprout
hrw,1.209284667,40.29,2.8,39.1,12.03,Sprout
hrw,1.238607333,66.82,3.26,34.36,11.71,Sprout
hrw,1.181579,44.35,2.44,30.45,11.61,Sprout
hrw,1.069610667,51.66,2.42,28.44,12.17,Sprout
hrw,1.146175333,60.11,2.12,21.8,11.32,Sprout
hrw,1.132539333,64.29,2.03,20.5,11.54,Sprout
hrw,1.005652,48.99,2.44,28.79,11.78,Sprout
hrw,1.231181,35.76,2.54,32.82,11.71,Sprout
hrw,1.175475333,19.55,2.62,33.77,11.99,Sprout
hrw,1.146585,25.43,2.66,33.65,12.51,Sprout
hrw,1.023461333,69.64,1.9,18.6,11.58,Scab
hrw,0.847346333,55.42,1.62,15.52,11.09,Scab
hrw,1.169613667,22.72,1.84,27.61,11.51,Scab
hrw,1.104465,36.01,2.61,31.04,12.09,Scab
hrw,0.929798133,44.05,1.97,17.77,11.57,Scab
hrw,1.184656667,0.34,1.77,22.39,11.5,Scab
hrw,1.071057333,51.44,2.52,27.96,11.37,Scab
hrw,1.184807,77.48,2.45,25.71,11.66,Scab
hrw,1.198946,42.63,2.76,35.55,11.78,Scab
hrw,1.645379333,14.12,1.84,21.8,12.26,Scab
hrw,0.885301,52.24,2.34,30.69,11.59,Scab
hrw,1.077304333,40.01,2.08,23.22,11.63,Scab
hrw,1.308138,56.26613,2.30274,26.4255,7.31146,Healthy
hrw,1.384802667,53.0719,2.4281,26.544,7.224,Healthy
hrw,1.239068,51.50477,1.96664,24.0555,7.79723,Healthy
hrw,1.259560667,74.20365,2.09739,21.4485,7.29487,Healthy
hrw,1.291319333,-11.6892,1.87751,26.4255,8.55695,Healthy
hrw,1.314743333,53.18145,2.53364,35.55,6.68903,Healthy
hrw,1.305649,65.76365,2.81185,34.7205,6.48554,Healthy
hrw,1.313662,73.32533,2.19946,26.307,6.97526,Healthy
hrw,1.345524,22.91489,2.87668,32.469,7.61263,Healthy
hrw,1.259339333,50.51054,2.20974,26.781,7.73085,Healthy
hrw,1.312261667,49.32363,2.4071,24.648,7.43514,Healthy
hrw,1.279238,70.97478,3.09405,25.0035,7.53971,Healthy
hrw,1.199593,70.85594,2.59739,24.5295,7.94088,Sprout
hrw,1.188154,61.95479,2.26129,26.4255,7.15694,Sprout
hrw,1.282499,36.15591,1.8383,22.041,8.11787,Sprout
hrw,1.190280333,53.86185,2.76873,30.9285,6.96408,Sprout
hrw,1.180343,45.66249,1.5064,19.434,7.95767,Sprout
hrw,1.246433667,34.69612,3.68474,29.388,7.26695,Sprout
hrw,1.303338,-7.16683,1.86769,26.307,8.68721,Sprout
hrw,1.071367667,111.9339,1.78962,17.775,7.0905,Sprout
hrw,1.190299333,20.09846,2.00662,25.2405,7.60144,Sprout
hrw,1.107117333,62.5782,2.4176,25.0035,8.28211,Sprout
hrw,1.225253,19.49289,2.18919,29.151,7.69366,Sprout
hrw,1.377886,70.85594,2.59739,24.5295,7.94088,Sprout
hrw,1.040141333,11.25277,1.77994,23.226,7.9816,Scab
hrw,0.980417667,-10.9931,2.4281,25.7145,7.97399,Scab
hrw,0.987744667,-23.0928,2.09739,24.2925,8.78203,Scab
hrw,0.925342333,26.51203,2.07712,28.5585,7.50853,Scab
hrw,1.070891,31.05061,2.4071,26.07,7.99433,Scab
hrw,1.105952667,5.63174,2.66143,30.2175,7.86725,Scab
hrw,0.905567333,-10.8244,2.04683,29.388,8.49465,Scab
hrw,1.133811333,33.45315,0.95389,11.2575,8.62039,Scab
hrw,1.153847,73.27228,0.94613,9.8355,8.38773,Scab
hrw,1.042084333,98.15546,1.16384,9.3615,8.00542,Scab
hrw,1.070258667,83.19812,1.70302,14.931,7.55371,Scab
hrw,1.01093,54.43367,1.66498,14.931,8.51863,Scab
srw,1.622254333,6.23458,2.17895,29.151,12.27918,Healthy
srw,1.192171333,-0.17575,1.84809,28.5585,12.53377,Healthy
srw,1.233615,10.52491,2.58675,37.92,12.26041,Healthy
srw,1.203235,-0.76206,2.59739,31.758,12.73552,Healthy
srw,1.143644667,16.6823,2.59739,29.9805,12.53443,Healthy
srw,1.273394333,3.00449,2.15848,31.6395,12.65594,Healthy
srw,1.144255,-5.51394,2.69355,39.6975,12.54105,Healthy
srw,1.236554333,-12.0173,2.31312,41.475,11.86678,Healthy
srw,1.181594667,25.47469,1.70302,20.619,12.20732,Healthy
srw,1.294189667,20.53321,2.4281,37.683,12.42688,Healthy
srw,1.427629,-12.9427,1.85788,26.307,12.44434,Healthy
srw,1.239744,3.15802,2.32353,38.9865,12.33767,Healthy
srw,1.259089,19.56428,4.30998,37.0905,12.10541,Sprout
srw,1.109131667,-3.0552,1.85788,22.1595,12.69419,Sprout
srw,1.158299333,32.83598,2.28199,35.787,11.69507,Sprout
srw,1.203221,-23.4362,3.15953,40.053,12.3666,Sprout
srw,1.147265333,38.78931,3.01778,33.7725,12.39837,Sprout
srw,1.261747,-1.03503,2.39661,40.1715,11.84988,Sprout
srw,1.172817333,-0.9851,1.82854,23.3445,12.71937,Sprout
srw,1.109444,5.6667,2.52305,28.44,12.04182,Sprout
srw,1.150151,-16.1338,2.29235,41.712,11.92404,Sprout
srw,1.187433333,8.7379,2.51246,45.741,11.61794,Sprout
srw,1.213438,3.53021,2.53364,35.55,11.65662,Sprout
srw,1.126752,34.09319,2.14827,33.5355,12.07689,Sprout
srw,1.144576667,15.04724,1.89722,24.411,12.21705,Scab
srw,1.084382333,-4.50582,2.06701,22.041,11.91807,Scab
srw,1.169187,39.00045,1.95668,17.064,11.54259,Scab
srw,1.097692333,36.82672,1.25726,13.509,11.776,Scab
srw,1.070601333,22.47591,2.05691,21.567,12.01604,Scab
srw,0.961614,13.16435,2.05691,17.538,11.87417,Scab
srw,1.1581,22.43349,1.48809,20.0265,11.89759,Scab
srw,1.134228333,38.48267,1.74135,18.6045,11.8934,Scab
srw,1.129085,22.10108,2.03676,18.8415,12.01735,Scab
srw,1.124219667,-1.38244,1.54324,15.642,12.24076,Scab
srw,0.8,8.36343,3.20325,27.492,12.07506,Scab
srw,0.880704667,24.63187,1.46986,15.879,11.5412,Scab
srw,1.287250667,27.6004,2.4702,35.9055,12.81435,Healthy
srw,1.225147,-11.1872,2.27164,44.6745,13.25378,Healthy
srw,1.288611667,11.38096,1.9966,26.1885,13.51847,Healthy
srw,1.244697333,-8.46018,2.24063,36.261,13.07539,Healthy
srw,1.279038667,-12.0744,1.84809,26.781,13.82144,Healthy
srw,1.302653667,5.56456,2.87668,44.556,12.92136,Healthy
srw,1.198772333,77.02892,2.4702,29.5065,12.93849,Healthy
srw,1.352135333,-26.4447,2.57611,30.573,13.8733,Healthy
srw,1.292448333,-4.90767,2.15848,36.972,13.30547,Healthy
srw,1.222545333,-6.83716,2.44913,40.764,13.32204,Healthy
srw,1.268867667,-1.64366,1.60841,22.515,13.81467,Healthy
srw,1.326131667,8.5077,2.23032,25.9515,13.3035,Healthy
srw,0.976177333,-7.63592,2.05691,34.4835,12.72665,Sprout
srw,1.252947667,15.62019,2.52305,31.758,13.20516,Sprout
srw,1.113791,19.40951,2.45966,24.648,13.45627,Sprout
srw,1.095937,-2.28628,2.58675,38.0385,12.95496,Sprout
srw,1.168605667,-6.24163,2.68283,46.3335,13.12073,Sprout
srw,1.045191,16.2028,1.89722,29.2695,12.41649,Sprout
srw,1.241903,-6.08414,2.50188,31.047,13.17435,Sprout
srw,1.278847333,-8.87178,2.33393,35.4315,13.47477,Sprout
srw,1.171999333,-1.30905,2.69355,40.8825,12.99321,Sprout
srw,1.255882,11.92754,2.52305,38.5125,12.83305,Sprout
srw,1.237274,-1.48828,2.12787,30.6915,13.20985,Sprout
srw,1.106589667,-15.9582,1.96664,29.862,13.62114,Sprout
srw,1.144014,13.45264,1.89722,21.9225,13.91468,Scab
srw,1.192727333,65.99435,1.88736,17.064,12.77439,Scab
srw,1.137422667,20.99536,1.41563,17.775,12.94971,Scab
srw,1.300701333,46.46834,1.66498,12.4425,12.47401,Scab
srw,1.163953667,24.46514,1.58038,13.3905,14.51433,Scab
srw,1.124513333,23.48377,1.28319,13.983,13.84528,Scab
srw,1.319728333,25.60084,1.78962,20.619,13.33237,Scab
srw,0.8,14.74787,1.92688,20.145,13.30671,Scab
srw,1.206932667,6.36553,2.15848,24.7665,13.36385,Scab
srw,1.242246333,66.98748,2.4281,33.0615,12.3372,Scab
srw,0.97959,36.56053,2.16871,20.382,13.0911,Scab
srw,1.079005667,4.89776,1.93679,19.908,13.72817,Scab
srw,1.282501,-5.44852,3.19232,45.6225,13.13538,Healthy
srw,1.244091,-1.20203,2.65074,38.394,13.13604,Healthy
srw,1.233610333,31.06556,1.84809,28.44,12.51565,Healthy
srw,1.287600667,66.84229,2.4702,29.862,11.98804,Healthy
srw,1.27173,0.87423,2.49132,42.3045,13.04905,Healthy
srw,1.294004333,-3.48519,2.55486,37.683,13.54424,Healthy
srw,1.289007333,24.0519,3.06134,32.1135,13.2724,Healthy
srw,1.262164333,0.26953,2.35478,32.5875,13.66358,Healthy
srw,1.305281333,50.66094,2.19946,28.914,13.04028,Healthy
srw,1.282869667,-2.24246,2.56548,29.151,13.40495,Healthy
srw,1.245388,15.81508,2.50188,40.1715,13.37301,Healthy
srw,1.307234,58.57529,1.94673,25.0035,12.97925,Healthy
srw,1.203508667,0.63807,2.38615,28.203,12.93818,Sprout
srw,1.174586667,0.5233,2.51246,43.2525,13.07586,Sprout
srw,1.017977333,50.00835,2.99603,34.128,11.83168,Sprout
srw,1.207798667,-0.49553,1.74135,22.6335,13.2187,Sprout
srw,1.275763333,3.20802,2.45966,38.868,13.30591,Sprout
srw,1.12477,-0.26282,2.28199,26.1885,12.65582,Sprout
srw,1.221608333,-17.95,1.52478,24.2925,13.17049,Sprout
srw,1.158656,23.16695,2.48075,21.567,12.82952,Sprout
srw,1.177401333,13.25644,2.67212,36.735,12.65187,Sprout
srw,1.176584,-2.94362,2.01665,32.8245,13.34171,Sprout
srw,1.199534333,-8.3484,2.48075,37.209,12.77824,Sprout
srw,0.995293667,-3.43824,1.62719,19.5525,12.50486,Sprout
srw,1.215697,29.7582,2.67212,33.7725,11.97631,Healthy
srw,1.275849333,16.98641,2.12787,25.833,12.66404,Healthy
srw,1.302754667,30.37201,2.94171,37.683,12.10802,Healthy
srw,1.279942,43.12895,2.4281,27.6105,11.70477,Healthy
srw,1.199088333,29.06651,3.17046,24.885,12.13085,Healthy
srw,1.25996,6.3849,2.27164,35.1945,12.1593,Healthy
srw,1.260046,18.39776,2.02669,23.8185,12.26906,Healthy
srw,1.552864333,25.63912,2.28199,27.255,12.08553,Healthy
srw,1.341603667,60.25526,2.14827,30.099,12.22773,Healthy
srw,1.308713333,24.1194,2.55486,41.5935,12.62896,Healthy
srw,1.337558333,35.30435,1.6178,18.8415,12.70119,Healthy
srw,1.304029333,34.37985,1.81878,20.145,12.06636,Healthy
srw,1.239961333,29.32858,2.18919,30.81,11.93211,Sprout
srw,1.172066333,29.67731,1.46077,21.6855,11.72121,Sprout
srw,1.247287333,-5.68798,3.09405,40.527,12.71647,Sprout
srw,1.205271667,2.37606,2.15848,32.5875,12.49313,Sprout
srw,1.238734,9.83332,2.38615,27.018,11.8631,Sprout
srw,1.251036,-5.8661,2.68283,36.498,12.92718,Sprout
srw,1.296233333,2.57604,2.23032,40.1715,11.88764,Sprout
srw,1.227637667,-8.19215,2.23032,26.307,12.68967,Sprout
srw,1.309380667,-2.83553,2.44913,28.203,12.51147,Sprout
srw,1.212639333,8.24737,2.23032,30.81,12.13459,Sprout
srw,1.182748333,7.35523,2.00662,26.1885,12.6224,Sprout
srw,1.203349667,14.33828,1.97661,32.5875,12.43055,Sprout
srw,0.844701333,-1.30209,1.46986,15.168,12.88041,Scab
srw,1.216419,69.30093,1.46986,17.775,12.15555,Scab
srw,0.8,16.13852,1.38877,13.1535,11.90115,Scab
srw,1.405317667,54.24427,1.74135,14.22,12.78569,Scab
srw,0.949941,-1.52412,0.5973,13.6275,12.69,Scab
srw,0.934323333,48.66988,0.88496,8.532,11.81367,Scab
srw,1.253929667,40.54961,2.08724,20.5005,11.89474,Scab
srw,1.218493667,38.49846,1.77994,17.4195,12.16533,Scab
srw,1.267362667,29.58708,2.03676,23.8185,12.44913,Scab
srw,0.849188667,34.06615,1.40665,12.087,11.92744,Scab
srw,1.177023,60.97838,1.0569,9.48,12.24046,Scab
srw,1.030554333,-9.57063,2.05691,23.8185,12.64962,Scab
